==================================================================
RAPPORT DES MAIRES SANS CORRESPONDANCE AVEC LES CIRCONSCRIPTIONS
==================================================================

Date: ven. 14 nov. 2025 17:13:07

Nombre total de maires dans le CSV: 29491
Nombre de maires insérés dans la base: 27660
Nombre de maires NON insérés: 1831

==================================================================
ANALYSE PAR RÉGION
==================================================================

Combinaisons Région-Département-Circonscription présentes dans le CSV mais ABSENTES de la table circonscriptions:

- Auvergne-Rhone-Alpes | Dept: 69 (Rhone) | Circo: 5e circo | Maires concernés: 14
- Auvergne-Rhone-Alpes | Dept: 69 (Rhone) | Circo: 6e circo | Maires concernés: 25
- Auvergne-Rhone-Alpes | Dept: 69 (Rhone) | Circo: 7e circo | Maires concernés: 55
- Auvergne-Rhone-Alpes | Dept: 69 (Rhone) | Circo: 8e circo | Maires concernés: 18
- Auvergne-Rhone-Alpes | Dept: 69 (Rhone) | Circo: 9e circo | Maires concernés: 11
- Auvergne-Rhone-Alpes | Dept: 73 (Savoie) | Circo:  | Maires concernés: 1
- Auvergne-Rhone-Alpes | Dept: 73 (Savoie) | Circo: 1ere circo | Maires concernés: 33
- Auvergne-Rhone-Alpes | Dept: 73 (Savoie) | Circo: 2e circo | Maires concernés: 41
- Auvergne-Rhone-Alpes | Dept: 73 (Savoie) | Circo: 3e circo | Maires concernés: 80
- Auvergne-Rhone-Alpes | Dept: 73 (Savoie) | Circo: 4e circo | Maires concernés: 79
- Auvergne-Rhone-Alpes | Dept: 74 (Haute-Savoie) | Circo:  | Maires concernés: 1
- Auvergne-Rhone-Alpes | Dept: 74 (Haute-Savoie) | Circo: 1ere circo | Maires concernés: 9
- Auvergne-Rhone-Alpes | Dept: 74 (Haute-Savoie) | Circo: 2e circo | Maires concernés: 17
- Auvergne-Rhone-Alpes | Dept: 74 (Haute-Savoie) | Circo: 3e circo | Maires concernés: 59
- Auvergne-Rhone-Alpes | Dept: 74 (Haute-Savoie) | Circo: 4e circo | Maires concernés: 49
- Auvergne-Rhone-Alpes | Dept: 74 (Haute-Savoie) | Circo: 5e circo | Maires concernés: 72
- Auvergne-Rhone-Alpes | Dept: 74 (Haute-Savoie) | Circo: 6e circo | Maires concernés: 46
- Bourgogne-Franche-Comte | Dept: 25 (Doubs) | Circo:  | Maires concernés: 6
- Bourgogne-Franche-Comte | Dept: 25 (Doubs) | Circo: 1ere circo | Maires concernés: 172
- Bourgogne-Franche-Comte | Dept: 25 (Doubs) | Circo: 2e circo | Maires concernés: 25
- Bourgogne-Franche-Comte | Dept: 25 (Doubs) | Circo: 3e circo | Maires concernés: 71
- Bourgogne-Franche-Comte | Dept: 25 (Doubs) | Circo: 4e circo | Maires concernés: 117
- Bourgogne-Franche-Comte | Dept: 25 (Doubs) | Circo: 5e circo | Maires concernés: 138
- Bourgogne-Franche-Comte | Dept: 39 (Jura) | Circo:  | Maires concernés: 3
- Bourgogne-Franche-Comte | Dept: 39 (Jura) | Circo: 1ere circo | Maires concernés: 172
- Bourgogne-Franche-Comte | Dept: 39 (Jura) | Circo: 2e circo | Maires concernés: 111
- Bourgogne-Franche-Comte | Dept: 39 (Jura) | Circo: 3e circo | Maires concernés: 155
- Bourgogne-Franche-Comte | Dept: 58 (Nievre) | Circo:  | Maires concernés: 1
- Bourgogne-Franche-Comte | Dept: 58 (Nievre) | Circo: 1ere circo | Maires concernés: 207
- Bourgogne-Franche-Comte | Dept: 58 (Nievre) | Circo: 2e circo | Maires concernés: 88
- Bourgogne-Franche-Comte | Dept: 70 (Haute-Saone) | Circo:  | Maires concernés: 1
- Bourgogne-Franche-Comte | Dept: 70 (Haute-Saone) | Circo: 1ere circo | Maires concernés: 208
- Bourgogne-Franche-Comte | Dept: 70 (Haute-Saone) | Circo: 2e circo | Maires concernés: 292
- Bourgogne-Franche-Comte | Dept: 71 (Saone-et-Loire) | Circo:  | Maires concernés: 4
- Bourgogne-Franche-Comte | Dept: 71 (Saone-et-Loire) | Circo: 1ere circo | Maires concernés: 93
- Bourgogne-Franche-Comte | Dept: 71 (Saone-et-Loire) | Circo: 2e circo | Maires concernés: 177
- Bourgogne-Franche-Comte | Dept: 71 (Saone-et-Loire) | Circo: 3e circo | Maires concernés: 121
- Bourgogne-Franche-Comte | Dept: 71 (Saone-et-Loire) | Circo: 4e circo | Maires concernés: 61
- Bourgogne-Franche-Comte | Dept: 71 (Saone-et-Loire) | Circo: 5e circo | Maires concernés: 68
- Bourgogne-Franche-Comte | Dept: 89 (Yonne) | Circo:  | Maires concernés: 1
- Bourgogne-Franche-Comte | Dept: 89 (Yonne) | Circo: 1ere circo | Maires concernés: 131
- Bourgogne-Franche-Comte | Dept: 89 (Yonne) | Circo: 2e circo | Maires concernés: 156
