Civilite;Nom;Prenom;Mandat;Circonscription;Departement;Candidat_parrainage;Date
M;BARIOD;Maurice;Maire;Saint-Maurice-Crillat;Jura;ALLIOT-MARIE Michèle;2017
Mme;LARSONNEUR-MOREL;Dominique;Conseiller/ère départemental-e;;Manche;ALLIOT-MARIE Michèle;2017
M;MEIRE;Étienne;Maire;Raon-lès-Leau;Meurthe-et-Moselle;ALLIOT-MARIE Michèle;2017
M;PELON;David;Maire;Trignac;Loire-Atlantique;ALLIOT-MARIE Michèle;2017
M;AGNUS;Joël;Maire délégué-e;Chatonrupt-Sommermont;Haute-Marne;ARTHAUD Nathalie;2017
Mme;ALBERT;Catherine;Maire;Cahus;Lot;ARTHAUD Nathalie;2017
M;ANDRE;Yves;Maire;Bannalec;Finistère;ARTHAUD Nathalie;2017
M;AUBERT;Alain;Maire;Vix;Côte-d'Or;ARTHAUD Nathalie;2017
M;AVOUAC;Thierry;Maire;Charmes-sur-Rhône;Ardèche;ARTHAUD Nathalie;2017
M;AVY;Christian;Maire;Hombleux;Somme;ARTHAUD Nathalie;2017
M;BAILLEUL;Guy;Maire;Crouay;Calvados;ARTHAUD Nathalie;2017
M;BAILLEUL;Guy;Maire;Oussoy-en-Gâtinais;Loiret;ARTHAUD Nathalie;2017
M;BARDOT;Georges;Maire;Corbenay;Haute-Saône;ARTHAUD Nathalie;2017
M;BAUVY;Claude;Maire;Bellechassagne;Corrèze;ARTHAUD Nathalie;2017
M;BAYLAC;Michel;Maire;Hémilly;Moselle;ARTHAUD Nathalie;2017
M;BAZIN;Gérard;Maire;Bionville-sur-Nied;Moselle;ARTHAUD Nathalie;2017
Mme;BECHARD;Isabelle;Maire;Germont;Ardennes;ARTHAUD Nathalie;2017
M;BENOIST;Jean-Louis;Maire;Barbonne-Fayel;Marne;ARTHAUD Nathalie;2017
M;BESSAC;Alain;Maire;La Capelle-Bleys;Aveyron;ARTHAUD Nathalie;2017
Mme;BESSONNEAU;Françoise;Maire;Moumour;Pyrénées-Atlantiques;ARTHAUD Nathalie;2017
M;BIANCHIN;René;Maire;Pagny-sur-Moselle;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
M;BIC;Jean-Jacques;Maire;Autreville-sur-Moselle;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
M;BIGEL;Jean-Pierre;Maire;Villers-sous-Prény;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
M;BISSINGER;Michel;Maire;Goussaincourt;Meuse;ARTHAUD Nathalie;2017
M;BLAISE;Gabriel;Maire;Chanceaux;Côte-d'Or;ARTHAUD Nathalie;2017
M;BLANC;Daniel;Maire;Entrevennes;Alpes-de-Haute-Provence;ARTHAUD Nathalie;2017
Mme;BON;Linda;Maire;Camps-en-Amiénois;Somme;ARTHAUD Nathalie;2017
M;BONTE;Alain;Maire;Evricourt;Oise;ARTHAUD Nathalie;2017
M;BORNIER;Bernard;Maire;Dercy;Aisne;ARTHAUD Nathalie;2017
M;BOTELLA;Bruno;Maire;Heiltz-le-Hutier;Marne;ARTHAUD Nathalie;2017
M;BOULENGER;Raynald;Maire;Saint-Quentin-la-Motte-Croix-au-Bailly;Somme;ARTHAUD Nathalie;2017
M;BOURCHOT;Alain;Maire;Maisoncelles-en-Brie;Seine-et-Marne;ARTHAUD Nathalie;2017
M;BOUTELEUX;Pascal;Maire;Monceaux-l'Abbaye;Oise;ARTHAUD Nathalie;2017
M;BOUTET;Jean;Maire;Chalais;Indre;ARTHAUD Nathalie;2017
M;BOUZIN;Fabien;Maire délégué-e;Le Teilleul;Manche;ARTHAUD Nathalie;2017
M;BROUTE;Alain;Maire;Ranville-Breuillaud;Charente;ARTHAUD Nathalie;2017
M;BRUNEL;Vincent;Maire délégué-e;Bayons;Alpes-de-Haute-Provence;ARTHAUD Nathalie;2017
M;BUTIN;Yves;Maire;Villeselve;Oise;ARTHAUD Nathalie;2017
M;CAMPION;Dominique;Maire;Humberville;Haute-Marne;ARTHAUD Nathalie;2017
Mme;CANAL;Martine;Maire;Castagnède;Haute-Garonne;ARTHAUD Nathalie;2017
M;CANESSE;Pierre;Maire;Salomé;Nord;ARTHAUD Nathalie;2017
M;CANNAZZARO;Michel;Maire;Foulenay;Jura;ARTHAUD Nathalie;2017
M;CARON;Christophe;Maire;Meyssac;Corrèze;ARTHAUD Nathalie;2017
M;CAUMES;François;Maire;Le Chalon;Drôme;ARTHAUD Nathalie;2017
Mme;CAVIGNEAUX;Nadine;Maire;Saint-Nicolas-aux-Bois;Aisne;ARTHAUD Nathalie;2017
Mme;CHARROIS;Monique;Maire;Sorcy-Bauthémont;Ardennes;ARTHAUD Nathalie;2017
M;CHAVEY;Noël;Maire;Onans;Doubs;ARTHAUD Nathalie;2017
Mme;CHEVALLOT;Pascale;Maire;Gigny-Bussy;Marne;ARTHAUD Nathalie;2017
M;CLAUDON;Alain;Maire délégué-e;Vals-des-Tilles;Haute-Marne;ARTHAUD Nathalie;2017
Mme;COELHO;Véronique;Maire;Bazian;Gers;ARTHAUD Nathalie;2017
M;CONTAL;Fabien;Maire;Vraincourt;Haute-Marne;ARTHAUD Nathalie;2017
M;COTTARD;Bruno;Maire;Livet-sur-Authou;Eure;ARTHAUD Nathalie;2017
M;COUROUBLE;Xavier;Maire;Linghem;Pas-de-Calais;ARTHAUD Nathalie;2017
Mme;CREIGNOU;Solange;Maire;Saint-Thegonnec Loc-Eguiner;Finistère;ARTHAUD Nathalie;2017
M;CROCFER;Fernand;Maire;Boiry-Notre-Dame;Pas-de-Calais;ARTHAUD Nathalie;2017
Mme;CROIBIER;Catherine;Maire;Bérou-la-Mulotière;Eure-et-Loir;ARTHAUD Nathalie;2017
Mme;CUIF;Anne;Maire;Annelles;Ardennes;ARTHAUD Nathalie;2017
M;D'INCAU;Michel;Maire;Sainte-Colombe-de-Duras;Lot-et-Garonne;ARTHAUD Nathalie;2017
Mme;DARLES;Marcelle;Maire;Saint-Priest-la-Vêtre;Loire;ARTHAUD Nathalie;2017
M;DEFER;Gilbert;Maire;La Neuveville-sous-Châtenois;Vosges;ARTHAUD Nathalie;2017
M;DEGREMONT;Stéphane;Maire;Sasseville;Seine-Maritime;ARTHAUD Nathalie;2017
M;DELAHAYE;Patrick;Maire;Litteau;Calvados;ARTHAUD Nathalie;2017
M;DELAUNAY;Pascal;Maire;Maisoncelles-sur-Ajon;Calvados;ARTHAUD Nathalie;2017
M;DELELIS;Bernard;Maire;Gonnehem;Pas-de-Calais;ARTHAUD Nathalie;2017
M;DELOCHE;Joël;Maire;Rosnay;Indre;ARTHAUD Nathalie;2017
M;DESCAMPS;Guillaume;Maire;Marquigny;Ardennes;ARTHAUD Nathalie;2017
M;DESCHARLES;Jean-Claude;Maire;Saint-Josse;Pas-de-Calais;ARTHAUD Nathalie;2017
M;DESTREZ;Régis;Maire;Pouilly-sur-Serre;Aisne;ARTHAUD Nathalie;2017
M;DOUADY;Daniel;Maire;Le Petit-Pressigny;Indre-et-Loire;ARTHAUD Nathalie;2017
M;DOYEN;Claude;Maire;Blesme;Marne;ARTHAUD Nathalie;2017
M;DROUHOT;Roland;Maire;Chauvirey-le-Châtel;Haute-Saône;ARTHAUD Nathalie;2017
M;DROUVOT;Christian;Maire;Saint-Georges-Armont;Doubs;ARTHAUD Nathalie;2017
M;DUBOIS;Charles;Maire;Charmes-en-l'Angle;Haute-Marne;ARTHAUD Nathalie;2017
M;DUBOIS;Sylvain;Maire;Romain;Doubs;ARTHAUD Nathalie;2017
M;DUCHEZEAU;Pascal;Maire;Montferrand-le-Château;Doubs;ARTHAUD Nathalie;2017
Mme;DUFRESNE;Chantal;Maire;Thièvres;Pas-de-Calais;ARTHAUD Nathalie;2017
M;DUPONT;Jean-Marc;Maire;Béon;Ain;ARTHAUD Nathalie;2017
Mme;DURIEZ;Colette;Maire;Carnoy;Somme;ARTHAUD Nathalie;2017
Mme;ERCOLI;Sylvie;Maire;Lunan;Lot;ARTHAUD Nathalie;2017
M;ESPOSITO;Fabrice;Maire;Lauzun;Lot-et-Garonne;ARTHAUD Nathalie;2017
M;FETET;Michel;Maire;Arrentès-de-Corcieux;Vosges;ARTHAUD Nathalie;2017
M;FORTIN;Jacques;Maire;Blaise-sous-Arzillières;Marne;ARTHAUD Nathalie;2017
Mme;FOURQUET;Sylvie;Maire;Girac;Lot;ARTHAUD Nathalie;2017
M;FRANCOIS;Bernard;Maire;Magnoncourt;Haute-Saône;ARTHAUD Nathalie;2017
M;FRECHIN;Jean-Pierre;Maire;Ousté;Hautes-Pyrénées;ARTHAUD Nathalie;2017
M;FRENETTE;Bernard;Maire;Velles;Haute-Marne;ARTHAUD Nathalie;2017
M;GAGNEUR;Raphaël;Maire;Molain;Jura;ARTHAUD Nathalie;2017
M;GAILLON;Bernard;Maire;Claville-Motteville;Seine-Maritime;ARTHAUD Nathalie;2017
M;GAINCHE;Jean-Paul;Maire;Langrolay-sur-Rance;Côtes-d'Armor;ARTHAUD Nathalie;2017
M;GALINON;Eric;Maire;Le Pescher;Corrèze;ARTHAUD Nathalie;2017
M;GAMBOTTI;Alexandre;Maire;Ficaja;Haute-Corse;ARTHAUD Nathalie;2017
M;GARNIER;Christophe;Maire délégué-e;Eternoz;Doubs;ARTHAUD Nathalie;2017
M;GARRET;Yves;Maire;Menoux;Haute-Saône;ARTHAUD Nathalie;2017
M;GARY;Claude;Maire;Baives;Nord;ARTHAUD Nathalie;2017
M;GATTAUX;Michel;Maire;Sainte-Geneviève;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
M;GELEBART;André;Maire;Thiétreville;Seine-Maritime;ARTHAUD Nathalie;2017
M;GILBERT;Ghislain;Maire;Ormoy-Villers;Oise;ARTHAUD Nathalie;2017
M;GOMEZ;François;Maire;Thiescourt;Oise;ARTHAUD Nathalie;2017
M;GOMEZ;Ruben;Maire;Laguinge-Restoue;Pyrénées-Atlantiques;ARTHAUD Nathalie;2017
M;GORET;Gérard;Maire;Fontaine-Lavaganne;Oise;ARTHAUD Nathalie;2017
M;GOSSET;Jean-Yves;Maire;Le Mesnil-Saint-Firmin;Oise;ARTHAUD Nathalie;2017
M;GRAS;Guillaume;Maire;Puechredon;Gard;ARTHAUD Nathalie;2017
M;GRASSET;Serge;Maire délégué-e;Florac Trois Rivières;Lozère;ARTHAUD Nathalie;2017
Mme;GUERET;Françoise;Maire;Les Eduts;Charente-Maritime;ARTHAUD Nathalie;2017
M;GUYOT;Gauthier;Maire;Servon-Melzicourt;Marne;ARTHAUD Nathalie;2017
M;HALOT;Philippe;Maire;Bourg-Beaudouin;Eure;ARTHAUD Nathalie;2017
M;HENNEVEUX;Marc;Maire;Allemant;Aisne;ARTHAUD Nathalie;2017
Mme;JOUANNEAU;Dominique;Maire;Parçay-sur-Vienne;Indre-et-Loire;ARTHAUD Nathalie;2017
M;LADAM;Philippe;Maire;Nointel;Oise;ARTHAUD Nathalie;2017
M;LALISSE;Michel;Maire;Metz-en-Couture;Pas-de-Calais;ARTHAUD Nathalie;2017
M;LAMBERT;Dominique;Maire délégué-e;Val-de-Meuse;Haute-Marne;ARTHAUD Nathalie;2017
Mme;LANDREA;Marie-Annick;Maire;Hallignicourt;Haute-Marne;ARTHAUD Nathalie;2017
M;LANFRIT;Roland;Maire;Neunkirchen-lès-Bouzonville;Moselle;ARTHAUD Nathalie;2017
M;LANGLET;Jean-François;Maire;Vaux-Marquenneville;Somme;ARTHAUD Nathalie;2017
M;LAVIGNE DELVILLE;François;Maire;Viuz-la-Chiésaz;Haute-Savoie;ARTHAUD Nathalie;2017
M;LEBORGNE;Jacky;Maire;Talmontiers;Oise;ARTHAUD Nathalie;2017
Mme;LECONTE;Danièle;Maire;La Luzerne;Manche;ARTHAUD Nathalie;2017
M;LECOQ;Jackie;Maire;Hattencourt;Somme;ARTHAUD Nathalie;2017
M;LETETREL;Charlie;Maire;Saires-la-Verrerie;Orne;ARTHAUD Nathalie;2017
M;LETOURNEUR;Raymond;Maire;Rapilly;Calvados;ARTHAUD Nathalie;2017
M;LEY;Gérard;Maire;Florent-en-Argonne;Marne;ARTHAUD Nathalie;2017
M;LOGEAY;Philippe;Maire;Villotran;Oise;ARTHAUD Nathalie;2017
Mme;LUTIGNEAUX;Annick;Maire;Mâchecourt;Aisne;ARTHAUD Nathalie;2017
M;MAHU;Bernard;Maire;Deuillet;Aisne;ARTHAUD Nathalie;2017
M;MARQUET;Régis;Maire;Neuville-au-Cornet;Pas-de-Calais;ARTHAUD Nathalie;2017
M;MARTEAU;Pascal;Maire;Premières;Côte-d'Or;ARTHAUD Nathalie;2017
M;MARTINI;Jean-Luc;Maire;Willer-sur-Thur;Haut-Rhin;ARTHAUD Nathalie;2017
Mme;MASSOLA;Joëlle;Maire délégué-e;Perche en Nocé;Orne;ARTHAUD Nathalie;2017
Mme;MASUYER;Claude;Maire;Grange-de-Vaivre;Jura;ARTHAUD Nathalie;2017
M;MAYEUX;Bernard;Maire;Tortequesne;Pas-de-Calais;ARTHAUD Nathalie;2017
M;MAYOUD;Pierre;Maire;L'Ecouvotte;Doubs;ARTHAUD Nathalie;2017
Mme;MELO;Isabelle;Maire;Channay-sur-Lathan;Indre-et-Loire;ARTHAUD Nathalie;2017
M;MENISSEZ;Claude;Maire;Colleret;Nord;ARTHAUD Nathalie;2017
M;MENONI;Michel;Maire;Liac;Hautes-Pyrénées;ARTHAUD Nathalie;2017
M;MERCIER;Jean-Claude;Maire;Sommereux;Oise;ARTHAUD Nathalie;2017
Mme;MERLIN;Bernadette;Maire;Châtres;Dordogne;ARTHAUD Nathalie;2017
M;MIELCAREK;Christian;Maire;Ballay;Ardennes;ARTHAUD Nathalie;2017
M;MOUSSLER;Emmanuel;Maire;Waville;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
Mme;NANSOT;Christiane;Maire;Villers-aux-Erables;Somme;ARTHAUD Nathalie;2017
M;NIZET;Jacky;Maire;Verpel;Ardennes;ARTHAUD Nathalie;2017
M;NOGRETTE;Jean-Claude;Maire;Dunet;Indre;ARTHAUD Nathalie;2017
M;O'BATON;Joël;Maire;Saint-Just-de-Claix;Isère;ARTHAUD Nathalie;2017
M;PAGE;Christian;Maire;Saclay;Essonne;ARTHAUD Nathalie;2017
Mme;PAJAK;Annie;Maire;Chaintrix-Bierges;Marne;ARTHAUD Nathalie;2017
M;PAPERIN;Jean-Marie;Maire délégué-e;Val-de-Meuse;Haute-Marne;ARTHAUD Nathalie;2017
M;PARIS;Alain;Maire;Avanne-Aveney;Doubs;ARTHAUD Nathalie;2017
Mme;PASCAULT CHARTIER;Martine;Maire;Cessy-les-Bois;Nièvre;ARTHAUD Nathalie;2017
M;PERANTONI;Jacques;Maire;Euvezin;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
M;PERDRIEL;Daniel;Maire délégué-e;Mesnil-en-Ouche;Eure;ARTHAUD Nathalie;2017
Mme;PEREIRA;Véronique;Maire;Le Cloître-Saint-Thégonnec;Finistère;ARTHAUD Nathalie;2017
Mme;PERRIER;Corinne;Maire;Nomécourt;Haute-Marne;ARTHAUD Nathalie;2017
Mme;PETIGNY;Nadine;Maire;Roy-Boissy;Oise;ARTHAUD Nathalie;2017
M;PETIT;Denis;Maire;Dommartin-la-Chaussée;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
M;PEUFFIER;Régis;Maire;Saint-Siméon;Eure;ARTHAUD Nathalie;2017
M;PFENNINGER;Jean-Pierre;Maire;Carayac;Lot;ARTHAUD Nathalie;2017
M;PHILIPPON;Guy;Maire;Clarac;Hautes-Pyrénées;ARTHAUD Nathalie;2017
M;PIERRARD;Alexandre;Maire;Prignac-en-Médoc;Gironde;ARTHAUD Nathalie;2017
M;PINTON;Gérard;Maire;Saint-Jouin-de-Blavou;Orne;ARTHAUD Nathalie;2017
M;PIQUET;Stéphane;Maire;La Bouëxière;Ille-et-Vilaine;ARTHAUD Nathalie;2017
M;PIRLOT;Pierre;Maire;Cuncy-lès-Varzy;Nièvre;ARTHAUD Nathalie;2017
Mme;PIROUE;Béatrice;Maire;Juvaincourt;Vosges;ARTHAUD Nathalie;2017
M;PLANCKE;Dominique;Maire;Monchy-Cayeux;Pas-de-Calais;ARTHAUD Nathalie;2017
M;PLURIEL;Daniel;Maire;Neuvelle-lès-Voisey;Haute-Marne;ARTHAUD Nathalie;2017
Mme;PODEVIN;Nadine;Maire;Guivry;Aisne;ARTHAUD Nathalie;2017
M;POINEAU;Stéphane;Maire;Saint-Christoly-Médoc;Gironde;ARTHAUD Nathalie;2017
M;POIREL;Bernard;Maire;Ognes;Marne;ARTHAUD Nathalie;2017
M;PORTIER;Bernard;Maire;Grandchamp;Ardennes;ARTHAUD Nathalie;2017
Mme;POUILLEY;Odile;Maire;Saint-Valbert;Haute-Saône;ARTHAUD Nathalie;2017
M;POYDESSUS;Philippe;Maire;Bussunarits-Sarrasquette;Pyrénées-Atlantiques;ARTHAUD Nathalie;2017
M;PRAT;Marcel;Maire;Ploumilliau;Côtes-d'Armor;ARTHAUD Nathalie;2017
M;RAVERDY;Daniel;Maire délégué-e;Longuenée-en-Anjou;Maine-et-Loire;ARTHAUD Nathalie;2017
M;RAYMOND;André;Maire;Palhers;Lozère;ARTHAUD Nathalie;2017
M;REICHERT;Bernard;Maire;Thonville;Moselle;ARTHAUD Nathalie;2017
M;RENAUX;Thierry;Maire;Condé-lès-Autry;Ardennes;ARTHAUD Nathalie;2017
M;RICORDEAU;Alain;Maire;Séailles;Gers;ARTHAUD Nathalie;2017
M;ROBLET;Jean-Paul;Maire;Aubinges;Cher;ARTHAUD Nathalie;2017
M;ROHMER;Pascal;Maire;Vasperviller;Moselle;ARTHAUD Nathalie;2017
M;RORET;Pascal;Maire délégué-e;Val-de-Meuse;Haute-Marne;ARTHAUD Nathalie;2017
M;RUIZ;Albert;Maire;Goncourt;Haute-Marne;ARTHAUD Nathalie;2017
Mme;RYBUS;Annick;Maire;Ajoux;Ardèche;ARTHAUD Nathalie;2017
Mme;SAINTOUT;Michelle;Maire;Saint-Estèphe;Gironde;ARTHAUD Nathalie;2017
M;SALAUN;Joël;Maire;Manneville-la-Goupil;Seine-Maritime;ARTHAUD Nathalie;2017
M;SALLE-LAGARDE;Frédéric;Maire;Moussac;Gard;ARTHAUD Nathalie;2017
M;SARREY;Daniel;Maire;Ecuelle;Haute-Saône;ARTHAUD Nathalie;2017
M;SAVARIT;Noël;Maire;Longchamp-sous-Châtenois;Vosges;ARTHAUD Nathalie;2017
M;SCHNECKENBURGER;Jean-Claude;Maire;Berentzwiller;Haut-Rhin;ARTHAUD Nathalie;2017
M;SENAUX;Fabien;Maire;Pommera;Pas-de-Calais;ARTHAUD Nathalie;2017
Mme;SERAIS;Joëlle;Maire;Saint-Clair-de-Halouze;Orne;ARTHAUD Nathalie;2017
M;SEYS;Christian;Maire;Plichancourt;Marne;ARTHAUD Nathalie;2017
M;SUDRE;Patrick;Maire;Castillon-de-Saint-Martory;Haute-Garonne;ARTHAUD Nathalie;2017
M;TANGUY;Frédéric;Maire;Maysel;Oise;ARTHAUD Nathalie;2017
Mme;TETART;Marie-Françoise;Maire;Foncquevillers;Pas-de-Calais;ARTHAUD Nathalie;2017
M;THEUREL;Alain;Maire;Le Moutherot;Doubs;ARTHAUD Nathalie;2017
M;THEVENOT;Jean-claude;Maire;Bâgé-le-Châtel;Ain;ARTHAUD Nathalie;2017
M;TOLOMIO;Jean-Bernard;Maire;Cesseras;Hérault;ARTHAUD Nathalie;2017
M;TRUDET;Hugues;Maire;Larnod;Doubs;ARTHAUD Nathalie;2017
M;TURCK;Gilbert;Maire;Chailly-lès-Ennery;Moselle;ARTHAUD Nathalie;2017
M;URIER;Francis;Maire;Rouy-le-Grand;Somme;ARTHAUD Nathalie;2017
Mme;VACHAUD;Edith;Maire;Ruffec;Indre;ARTHAUD Nathalie;2017
M;VAN DEN HENDE;David;Maire;Le Thuel;Aisne;ARTHAUD Nathalie;2017
M;VILLANI;Jean;Maire;Courmont;Haute-Saône;ARTHAUD Nathalie;2017
M;VOLLE;Gérard;Maire;Brauvilliers;Meuse;ARTHAUD Nathalie;2017
M;WELELE;Patrice;Maire;Morval;Pas-de-Calais;ARTHAUD Nathalie;2017
M;ZAGO;Dimitri;Maire;Saint-Géraud;Lot-et-Garonne;ARTHAUD Nathalie;2017
M;ZAPATA;Antoine;Maire;Bize;Haute-Marne;ARTHAUD Nathalie;2017
M;ARNAUD;Daniel;Maire;Tersanne;Drôme;ASSELINEAU François;2017
M;AUGEREAU;Nicolas;Maire;Fatines;Sarthe;ASSELINEAU François;2017
M;AUVRAY;Bruno;Maire;Le Grais;Orne;ASSELINEAU François;2017
M;AYACHE;Serge;Maire;Fouillouse;Hautes-Alpes;ASSELINEAU François;2017
M;BARRIER;Pascal;Maire;Marcigny-sous-Thil;Côte-d'Or;ASSELINEAU François;2017
M;BEHAREL;Pascal;Maire;Rosay-sur-Lieure;Eure;ASSELINEAU François;2017
M;BENNEZON;Vincent;Maire;Courville;Marne;ASSELINEAU François;2017
M;BERGE;Yves;Maire;Saint-Mard;Meurthe-et-Moselle;ASSELINEAU François;2017
M;BLANGERO;Gilbert;Maire;Saint-Pardon-de-Conques;Gironde;ASSELINEAU François;2017
M;BORDAS;Micaël;Maire;Saint-Martin-d'Août;Drôme;ASSELINEAU François;2017
M;BOREL;Louis-Jean;Maire;Glandage;Drôme;ASSELINEAU François;2017
M;CHAREYRE;Eric;Maire;Vaunaveys-la-Rochette;Drôme;ASSELINEAU François;2017
M;CHARLET;Pierre;Maire;Coolus;Marne;ASSELINEAU François;2017
M;CHRISTOLHOMME;François;Maire;Birieux;Ain;ASSELINEAU François;2017
M;COUTEAU;Marc;Maire;Vauxrezis;Aisne;ASSELINEAU François;2017
M;DARQUES;Jérôme;Maire;Morbecque;Nord;ASSELINEAU François;2017
M;DELABASLE;Stanislas;Maire;Montreuil-la-Cambe;Orne;ASSELINEAU François;2017
M;DELNOTT;François;Maire;Saint-Denis-le-Thiboult;Seine-Maritime;ASSELINEAU François;2017
M;DESBARATS;Jean-Marc;Maire;Lamazère;Gers;ASSELINEAU François;2017
M;DESLANDES;Rémy;Maire;Gouvets;Manche;ASSELINEAU François;2017
M;DROUET;Dominique;Maire;Maisoncelles;Sarthe;ASSELINEAU François;2017
M;DRUET;Pascal;Maire;Verneuil-sur-Serre;Aisne;ASSELINEAU François;2017
M;DUPIOL;Jean-Claude;Maire;Cudos;Gironde;ASSELINEAU François;2017
Mme;ENCELIN;Elyane;Maire délégué-e;Longny les Villages;Orne;ASSELINEAU François;2017
Mme;FAYOLLE;Claudette;Maire;Bougé-Chambalud;Isère;ASSELINEAU François;2017
M;GEORGES;Christian;Maire délégué-e;Provenchères-et-Colroy;Vosges;ASSELINEAU François;2017
M;GIRARDEAU;Daniel;Maire;Mirebeau;Vienne;ASSELINEAU François;2017
M;GOURIO;Alain;Maire;Mardilly;Orne;ASSELINEAU François;2017
M;GUILLAUME;Lionel;Maire;Merri;Orne;ASSELINEAU François;2017
M;GUYON;Jean-Pierre;Maire;Maisoncelles-en-Gâtinais;Seine-et-Marne;ASSELINEAU François;2017
Mme;HELBERT;Marie-Claude;Maire;Ruillé-Froid-Fonds;Mayenne;ASSELINEAU François;2017
M;HERVIEUX;Francis;Maire délégué-e;Souleuvre en Bocage;Calvados;ASSELINEAU François;2017
M;JOVENIAUX;Didier;Maire;Quérénaing;Nord;ASSELINEAU François;2017
M;LACHAUME;Jean-Paul;Maire;Santilly;Eure-et-Loir;ASSELINEAU François;2017
M;LAFAURY;Yves;Maire;Epinouze;Drôme;ASSELINEAU François;2017
M;LAMBROT;Jean-Serge;Maire;Lados;Gironde;ASSELINEAU François;2017
M;LE GOFF;Jean-Yves;Maire;Scaër;Finistère;ASSELINEAU François;2017
M;LEBOUVIER;Jean;Maire;Saint-Amand-Villages;Manche;ASSELINEAU François;2017
Mme;LECOURTOIS;Geneviève;Maire délégué-e;Saint-Jean-d'Elle;Manche;ASSELINEAU François;2017
M;LEDUN;Frédéric;Maire;Dévillac;Lot-et-Garonne;ASSELINEAU François;2017
M;LEROY;Thierry;Maire délégué-e;Vexin-sur-Epte;Eure;ASSELINEAU François;2017
M;LEVOYET;Bernard;Maire;Vieilmoulin;Côte-d'Or;ASSELINEAU François;2017
M;MARCELLIN;Bruno;Maire;Margival;Aisne;ASSELINEAU François;2017
M;MIGUEL;Roger;Maire;Congy;Marne;ASSELINEAU François;2017
M;MOCQUERY;Régis;Maire;Roncenay;Aube;ASSELINEAU François;2017
M;MOLAS;Gervais;Maire;Saint-Léonard;Gers;ASSELINEAU François;2017
Mme;NAVEAU;Martine;Maire;Villiers-au-Bouin;Indre-et-Loire;ASSELINEAU François;2017
M;NIAY;Gabriel;Maire;Châtillon-sur-Oise;Aisne;ASSELINEAU François;2017
M;ORTHOLAN;Jean-Jacques;Maire;L'Isle-de-Noé;Gers;ASSELINEAU François;2017
M;PETIT;Bernard;Maire;Ichy;Seine-et-Marne;ASSELINEAU François;2017
M;POCHOLLE;Pascal;Maire;Marenla;Pas-de-Calais;ASSELINEAU François;2017
M;ROBERT;Frederic;Maire;Monêtier-Allemont;Hautes-Alpes;ASSELINEAU François;2017
M;ROSE;Dominique;Maire délégué-e;Torigny-les-Villes;Manche;ASSELINEAU François;2017
M;ROUILLARD;Pierre;Maire;Saint-Agnan-sur-Sarthe;Orne;ASSELINEAU François;2017
M;SAMSON;Vincent;Maire;Tresson;Sarthe;ASSELINEAU François;2017
M;SANSON;Albert;Maire;Chenois;Moselle;ASSELINEAU François;2017
M;SCHRAMM;Guy;Maire;Beauvoisin;Gard;ASSELINEAU François;2017
M;VADROT;Guy;Maire;Marigny-sur-Yonne;Nièvre;ASSELINEAU François;2017
M;VUILLIOT;Jean-Paul;Maire;Châtillon-lès-Sons;Aisne;ASSELINEAU François;2017
M;WIERZBICKI;Jean-Marie;Maire délégué-e;Val d'Orger;Eure;ASSELINEAU François;2017
M;ARMAND;Yves;Maire;Saint-Restitut;Drôme;CHEMINADE Jacques;2017
M;AVET;Hubert;Maire;Lignières-Châtelain;Somme;CHEMINADE Jacques;2017
M;BAHU;Nicolas;Maire;Marizy-Sainte-Geneviève;Aisne;CHEMINADE Jacques;2017
M;BALLAND;Gérard;Maire;Villereversure;Ain;CHEMINADE Jacques;2017
Mme;BERTHOUMIEU;Marie;Maire;Albiac;Lot;CHEMINADE Jacques;2017
M;BIGEON;Jean-Marie;Maire;Autreville;Vosges;CHEMINADE Jacques;2017
M;BOUILLON;Mathieu;Maire;Bourcq;Ardennes;CHEMINADE Jacques;2017
M;CAPOULADE;Hubert;Maire;Ségur;Aveyron;CHEMINADE Jacques;2017
M;CARRIERE;François;Maire;Boussac;Aveyron;CHEMINADE Jacques;2017
M;CHAFFIOTTE;Pascal;Maire;Villers-Grélot;Doubs;CHEMINADE Jacques;2017
M;CHATEL;Pascal;Maire;Unienville;Aube;CHEMINADE Jacques;2017
M;CHONE;Olivier;Maire;Delain;Haute-Saône;CHEMINADE Jacques;2017
M;CIRESA;François;Maire;Soye;Doubs;CHEMINADE Jacques;2017
M;CLAUDEL;Jean-Marie;Maire;Vaubexy;Vosges;CHEMINADE Jacques;2017
M;CORREIA;Emmanuel;Maire;Anzat-le-Luguet;Puy-de-Dôme;CHEMINADE Jacques;2017
M;DELCHET;Philippe;Maire;La Monselie;Cantal;CHEMINADE Jacques;2017
M;DEMANGE;Régis;Maire;Betoncourt-lès-Brotte;Haute-Saône;CHEMINADE Jacques;2017
M;DEVILLERS;Claude;Maire;Lomont-sur-Crête;Doubs;CHEMINADE Jacques;2017
M;DIDELOT;Philippe;Maire;Tramont-Emy;Meurthe-et-Moselle;CHEMINADE Jacques;2017
